# Generated by scripts/design/build-symbol-logos.py — do not hand-edit.
# symbol  source

nxs          crypto-icons
nxt          crypto-icons
oax          crypto-icons
ocean        binance-icons/crypto
og           binance-icons/crypto
ogn          binance-icons/crypto
ok           crypto-icons
om           binance-icons/crypto
omg          crypto-icons
omni         crypto-icons
omold        binance-icons/crypto
ondo         tv-logos/crypto
one          crypto-icons
ong          crypto-icons
ont          crypto-icons
oot          crypto-icons
op           binance-icons/crypto
ordi         tv-logos/crypto
ost          crypto-icons
ox           crypto-icons
oxt          crypto-icons
oxy          crypto-icons
part         crypto-icons
pasc         crypto-icons
pasl         crypto-icons
pax          crypto-icons
paxg         crypto-icons
pay          crypto-icons
payx         crypto-icons
pepe         tv-logos/crypto
perp         binance-icons/crypto
pha          binance-icons/crypto
pink         crypto-icons
pirl         crypto-icons
pivx         crypto-icons
plr          crypto-icons
poa          crypto-icons
poe          crypto-icons
pol          tv-logos/crypto
polis        crypto-icons
pols         binance-icons/crypto
poly         crypto-icons
pond         binance-icons/crypto
pot          crypto-icons
powr         crypto-icons
ppc          crypto-icons
ppp          crypto-icons
ppt          crypto-icons
pre          crypto-icons
prl          crypto-icons
prom         binance-icons/crypto
psg          binance-icons/crypto
pundix       binance-icons/crypto
pungo        crypto-icons
pura         crypto-icons
pyth         tv-logos/crypto
qash         crypto-icons
qiswap       binance-icons/crypto
qiwi         crypto-icons
qlc          crypto-icons
qnt          crypto-icons
qrl          crypto-icons
qsp          crypto-icons
qtum         crypto-icons
quick        binance-icons/crypto
r            crypto-icons
rads         crypto-icons
ramp         binance-icons/crypto
rap          crypto-icons
ray          crypto-icons
rcn          crypto-icons
rdd          crypto-icons
rdn          crypto-icons
rei          binance-icons/crypto
ren          crypto-icons
renbtc       binance-icons/crypto
rep          crypto-icons
repv1        binance-icons/crypto
repv2        crypto-icons
req          crypto-icons
rhoc         crypto-icons
ric          crypto-icons
rif          binance-icons/crypto
rise         crypto-icons
rlc          crypto-icons
rndr         binance-icons/crypto
rose         tv-logos/crypto
rpx          crypto-icons
rsr          binance-icons/crypto
rub          crypto-icons
rvn          crypto-icons
ryo          crypto-icons
safe         crypto-icons
safemoon     crypto-icons
sai          crypto-icons
salt         crypto-icons
san          crypto-icons
sand         crypto-icons
santos       binance-icons/crypto
sbd          crypto-icons
sberbank     crypto-icons
sc           crypto-icons
scrt         binance-icons/crypto
sei          binance (raster)
ser          crypto-icons
sfp          binance-icons/crypto
sgb          binance-icons/crypto
shib         binance-icons/crypto
shift        crypto-icons
sib          crypto-icons
sin          crypto-icons
skl          crypto-icons
sky          crypto-icons
slr          crypto-icons
sls          crypto-icons
smart        crypto-icons
sngls        crypto-icons
snm          crypto-icons
snmold       binance-icons/crypto
snt          crypto-icons
snx          crypto-icons
soc          crypto-icons
sol          crypto-icons
solo         binance-icons/crypto
spacehbit    crypto-icons
spank        crypto-icons
sparta       binance-icons/crypto
sphtx        crypto-icons
srn          crypto-icons
ssv          binance-icons/crypto
stak         crypto-icons
start        crypto-icons
steem        crypto-icons
stmx         binance-icons/crypto
storj        crypto-icons
storm        crypto-icons
stox         crypto-icons
stpt         binance-icons/crypto
stq          crypto-icons
strat        crypto-icons
strk         tv-logos/crypto
stx          crypto-icons
sub          crypto-icons
sui          tv-logos/crypto
sumo         crypto-icons
sunold       binance-icons/crypto
super        binance-icons/crypto
susd         binance-icons/crypto
sushi        crypto-icons
swrv         binance-icons/crypto
sys          crypto-icons
t            binance-icons/crypto
taas         crypto-icons
tau          crypto-icons
tbx          crypto-icons
tct          binance-icons/crypto
tel          crypto-icons
ten          crypto-icons
tern         crypto-icons
tgch         crypto-icons
theta        crypto-icons
tia          tv-logos/crypto
tix          crypto-icons
tkn          crypto-icons
tko          binance-icons/crypto
tks          crypto-icons
tlm          binance-icons/crypto
tnb          crypto-icons
tnc          crypto-icons
tnt          crypto-icons
tomo         crypto-icons
ton          binance (raster)
torn         binance-icons/crypto
tpay         crypto-icons
tribe        binance-icons/crypto
trig         crypto-icons
troy         binance-icons/crypto
trtl         crypto-icons
tru          binance-icons/crypto
trx          crypto-icons
trxdown      binance-icons/crypto
trxup        binance-icons/crypto
tusd         crypto-icons
twt          binance-icons/crypto
tzc          crypto-icons
ubq          crypto-icons
uft          binance-icons/crypto
uma          crypto-icons
unfi         binance-icons/crypto
uni          crypto-icons
unity        crypto-icons
usd          crypto-icons
usdc         crypto-icons
usdt         crypto-icons
utk          crypto-icons
veri         crypto-icons
vet          crypto-icons
via          crypto-icons
vib          crypto-icons
vibe         crypto-icons
vidt         binance-icons/crypto
vite         binance-icons/crypto
vivo         crypto-icons
voxel        binance-icons/crypto
vrc          crypto-icons
vrsc         crypto-icons
vrt          binance-icons/crypto
vtc          crypto-icons
vtho         crypto-icons
wabi         crypto-icons
wan          crypto-icons
waves        crypto-icons
wax          crypto-icons
wbnb         binance-icons/crypto
wbtc         crypto-icons
weth         binance-icons/crypto
wgr          crypto-icons
wicc         crypto-icons
wif          binance (raster)
wing         binance-icons/crypto
wings        crypto-icons
wld          tv-logos/crypto
wnxm         binance-icons/crypto
woo          binance-icons/crypto
wpr          crypto-icons
wrx          binance-icons/crypto
wtc          crypto-icons
x            crypto-icons
xas          crypto-icons
xbc          crypto-icons
xbp          crypto-icons
xby          crypto-icons
xcp          crypto-icons
xdata        binance-icons/crypto
xdn          crypto-icons
xem          crypto-icons
xin          crypto-icons
xlm          crypto-icons
xlmdown      binance-icons/crypto
xlmup        binance-icons/crypto
xmcc         crypto-icons
xmg          crypto-icons
xmo          crypto-icons
xmr          crypto-icons
xmy          crypto-icons
xp           crypto-icons
xpa          crypto-icons
xpm          crypto-icons
xpr          crypto-icons
xrp          crypto-icons
xrpbear      binance-icons/crypto
xrpbull      binance-icons/crypto
xrpdown      binance-icons/crypto
xrpup        binance-icons/crypto
xsg          crypto-icons
xtz          crypto-icons
xtzdown      binance-icons/crypto
xtzup        binance-icons/crypto
xuc          crypto-icons
xvc          crypto-icons
xvg          crypto-icons
xzc          crypto-icons
yfi          crypto-icons
yfidown      binance-icons/crypto
yfii         binance-icons/crypto
yfiup        binance-icons/crypto
yoyow        crypto-icons
zcl          crypto-icons
zec          crypto-icons
zel          crypto-icons
zen          crypto-icons
zest         crypto-icons
zil          crypto-icons
zilla        crypto-icons
zrx          crypto-icons

# Dropped as too large to read at icon size; these fall back to the token:
# ape        crypto-icons
# asr        binance-icons/crypto
# audio      binance-icons/crypto
# badger     binance-icons/crypto
# d          crypto-icons
# ez         binance-icons/crypto
# farm       binance-icons/crypto
# joe        binance-icons/crypto
# klown      crypto-icons
# spell      binance-icons/crypto
# wif        tv-logos/crypto
